編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLRJMHKFFCT27CA,1,133.83,見其他登記事項,見其他登記事項,103年6月17日,003,一層 二層 三層 見其他登記事項
RPXNMLRJMHKFFCT57CA,1,133.83,見其他登記事項,見其他登記事項,103年6月17日,003,一層 二層 三層 見其他登記事項
RPPNMLTJMHKFFCT96CA,10,19.81,住家用,見使用執照,93年9月17日,001,一層
RPPNMLKMLHKFFCT88CA,22,119.84,住家用,加強磚造,81年12月6日,002,一層 二層
RPXNMLMLMHKFFAT17DA,18,132.35,見其他登記事項,鋼筋混凝土造,85年12月9日,003,一層 二層 三層
RPXPMLNLMHKFFAT47DA,8,13.91,住家用,鋼筋混凝土造,96年3月28日,005,一層
RPXPMLNLMHKFFAT47DA,8,13.91,住家用,鋼筋混凝土造,96年3月28日,005,一層
RPXPMLNLMHKFFAT47DA,8,13.91,住家用,鋼筋混凝土造,96年3月28日,005,三層
RPXPMLNLMHKFFAT47DA,8,13.91,住家用,鋼筋混凝土造,96年3月28日,005,四層
RPUOMLKMLHKFFAT76DA,9,335.25,見其他登記事項,鋼筋混凝土造,95年5月9日,004,一層 二層 三層 四層 見其他登記事項
RPOOMLLMLHKFFAT88DA,34,80.00,住家用,加強磚造,70年1月24日,002,一層 二層
RPROMLNKMHKFFAT66DA,8,16.78,住家用,鋼筋混凝土造,96年3月28日,005,一層
RPROMLNKMHKFFAT66DA,8,7.91,見其他登記事項,鋼筋混凝土造,96年3月28日,005
RPROMLNKMHKFFAT66DA,8,13.91,住家用,鋼筋混凝土造,96年3月28日,005,四層
RPROMLNKMHKFFAT66DA,8,6.57,見其他登記事項,鋼筋混凝土造,96年3月28日,005
RPRNMLLJMHKFFET56CA,26,122.00,住家用,加強磚造,77年11月4日,002,一層 二層
RPPNMLPKMHKFFDT76CA,33,88.95,店舖、住宅,加強磚造,71年7月12日,002,一層 二層
RPROMLQKMHKFFDT17CA,1,253.72,住家用,鋼筋混凝土構造,103年7月1日,004,四層 一層 二層 三層
RPPNMLKMLHKFFDT98CA,2,260.96,廠房,鋼筋混凝土構造,102年3月13日,002,一層 二層
RPSNMLLJMHKFFDT56CA,27,105.58,住家用,加強磚造,77年3月28日,002,一層 二層 騎樓
RPPOMLRJMHKFFDT96CA,31,165.88,住家用,加強磚造,73年6月5日,002,一層 二層
RPWNMLLJMHKFFDT96CA,37,88.00,住宅,加強磚造,67年1月1日,002,一層 二層
RPRNMLLMLHKFFDT66CA,36,99.20,店舖、住宅,鋼筋混凝土造,68年1月24日,002,一層 二層 騎樓
RPTNMLLMLHKFFDT86CA,39,84.40,住家用,鋼筋混凝土加強磚造,65年7月27日,002,一層 二層 騎樓
RPPOMLQKMHKFFDT96CA,1,251.14,住家用,鋼筋混凝土構造,103年7月1日,004,二層 三層 四層 一層
RPWNMLQKMHKFFAT37DA,15,99.38,見其他登記事項,鋼筋混凝土造,88年12月4日,014,九層
RPWNMLQKMHKFFAT37DA,15,28.81,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPXNMLQKMHKFFAT47DA,15,99.38,見其他登記事項,鋼筋混凝土造,88年12月4日,014,八層
RPXNMLQKMHKFFAT47DA,15,28.81,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPOOMLQKMHKFFAT66DA,15,94.41,見其他登記事項,鋼筋混凝土造,88年12月4日,014,八層
RPOOMLQKMHKFFAT66DA,15,30.73,見其他登記事項,鋼筋混凝土造,88年12月4日,014
